Wall time,Step,Value,Run,Tag
1693963769.7988179,15,0.42804622650146484,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693964112.7841384,16,0.43819981813430786,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693964454.8097541,17,0.43494290113449097,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693964798.58586,18,0.43235206604003906,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693965142.165872,19,0.4446350038051605,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693965484.5751004,20,0.4385354816913605,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693965829.3889656,21,0.35017386078834534,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693966172.2245114,22,0.35740095376968384,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693966516.7297075,23,0.37342333793640137,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693966858.672258,24,0.38017842173576355,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693967202.5915048,25,0.3916222155094147,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693967545.3029647,26,0.4112791121006012,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693967888.1412084,27,0.44168752431869507,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693968229.242618,28,0.46679359674453735,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693968573.3737528,29,0.4819348454475403,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693968916.163449,30,0.5144306421279907,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693969261.9311483,31,0.530799150466919,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693969603.52185,32,0.5526430606842041,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693969946.9250498,33,0.5592407584190369,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693970291.003592,34,0.5755516290664673,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693970636.601947,35,0.5793854594230652,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693970978.514067,36,0.588605523109436,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693971321.5105186,37,0.594547688961029,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693971655.6305437,38,0.6024198532104492,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693971988.6079602,39,0.6490446925163269,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693972322.936077,40,0.6653922200202942,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693972657.3094335,41,0.6714287996292114,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
